env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.084627,0:00:00.084627,16
2,0:00:00.085627,0:00:00.042814,16
3,0:00:00.085627,0:00:00.028542,16
4,0:00:00.094628,0:00:00.023657,16
5,0:00:00.095628,0:00:00.019126,66
6,0:00:00.280689,0:00:00.046782,37
7,0:00:00.292280,0:00:00.041754,37
8,0:00:00.292280,0:00:00.036535,37
9,0:00:00.327206,0:00:00.036356,37
10,0:00:00.327206,0:00:00.032721,37
11,0:00:00.327206,0:00:00.029746,37
12,0:00:00.361249,0:00:00.030104,37
13,0:00:00.361249,0:00:00.027788,37
14,0:00:00.379247,0:00:00.027089,37
15,0:00:00.383207,0:00:00.025547,37
16,0:00:00.383207,0:00:00.023950,37
17,0:00:00.383207,0:00:00.022542,37
18,0:00:00.394265,0:00:00.021904,37
19,0:00:00.394265,0:00:00.020751,37
20,0:00:00.395264,0:00:00.019763,87
21,0:00:00.615558,0:00:00.029312,56
22,0:00:00.616604,0:00:00.028027,56
23,0:00:00.616604,0:00:00.026809,56
24,0:00:00.648634,0:00:00.027026,56
25,0:00:00.648634,0:00:00.025945,56
26,0:00:00.648634,0:00:00.024947,56
27,0:00:00.682559,0:00:00.025280,56
28,0:00:00.682559,0:00:00.024377,56
29,0:00:00.698632,0:00:00.024091,56
30,0:00:00.717561,0:00:00.023919,136
31,0:00:01.201136,0:00:00.038746,90
32,0:00:01.202134,0:00:00.037567,90
33,0:00:01.202134,0:00:00.036428,90
34,0:00:01.269062,0:00:00.037325,90
35,0:00:01.270063,0:00:00.036288,114
36,0:00:01.368220,0:00:00.038006,104
37,0:00:01.408213,0:00:00.038060,104
38,0:00:01.408213,0:00:00.037058,104
39,0:00:01.458676,0:00:00.037402,104
40,0:00:01.458676,0:00:00.036467,104
41,0:00:01.474748,0:00:00.035969,104
42,0:00:01.474748,0:00:00.035113,104
43,0:00:01.505722,0:00:00.035017,104
44,0:00:01.549677,0:00:00.035220,104
45,0:00:01.555677,0:00:00.034571,104
46,0:00:01.555677,0:00:00.033819,104
47,0:00:01.567741,0:00:00.033356,104
48,0:00:01.578748,0:00:00.032891,104
49,0:00:01.578748,0:00:00.032219,104
50,0:00:01.584747,0:00:00.031695,104
51,0:00:01.584747,0:00:00.031073,104
52,0:00:01.584747,0:00:00.030476,104
53,0:00:01.584747,0:00:00.029901,104
54,0:00:01.584747,0:00:00.029347,104
55,0:00:01.584747,0:00:00.028814,128
56,0:00:01.749906,0:00:00.031248,116
57,0:00:01.749906,0:00:00.030700,116
58,0:00:01.749906,0:00:00.030171,116
59,0:00:01.769976,0:00:00.030000,116
60,0:00:01.769976,0:00:00.029500,116
61,0:00:01.777905,0:00:00.029146,116
62,0:00:01.811907,0:00:00.029224,116
63,0:00:01.811907,0:00:00.028760,116
64,0:00:01.823903,0:00:00.028498,116
65,0:00:01.823903,0:00:00.028060,116
66,0:00:01.823903,0:00:00.027635,116
67,0:00:01.830949,0:00:00.027328,116
68,0:00:01.830949,0:00:00.026926,116
69,0:00:01.830949,0:00:00.026535,116
70,0:00:01.830949,0:00:00.026156,116
71,0:00:01.830949,0:00:00.025788,116
72,0:00:01.830949,0:00:00.025430,116
73,0:00:01.830949,0:00:00.025081,116
74,0:00:01.830949,0:00:00.024743,116
75,0:00:01.831907,0:00:00.024425,176
76,0:00:02.358291,0:00:00.031030,142
77,0:00:02.358291,0:00:00.030627,142
78,0:00:02.358291,0:00:00.030234,142
79,0:00:02.381292,0:00:00.030143,142
80,0:00:02.381292,0:00:00.029766,142
81,0:00:02.381292,0:00:00.029399,142
82,0:00:02.527006,0:00:00.030817,142
83,0:00:02.527006,0:00:00.030446,142
84,0:00:02.534046,0:00:00.030167,142
85,0:00:02.542009,0:00:00.029906,178
86,0:00:02.842014,0:00:00.033047,154
87,0:00:02.843013,0:00:00.032678,154
88,0:00:02.878012,0:00:00.032705,154
89,0:00:02.912009,0:00:00.032719,154
90,0:00:02.912009,0:00:00.032356,154
91,0:00:02.944059,0:00:00.032352,154
92,0:00:03.021585,0:00:00.032843,154
93,0:00:03.021585,0:00:00.032490,154
94,0:00:03.021585,0:00:00.032145,154
95,0:00:03.064569,0:00:00.032259,154
96,0:00:03.064569,0:00:00.031923,154
97,0:00:03.064569,0:00:00.031593,154
98,0:00:03.080638,0:00:00.031435,154
99,0:00:03.080638,0:00:00.031118,154
100,0:00:03.081638,0:00:00.030816,206
101,0:00:03.810284,0:00:00.037726,185
102,0:00:03.812270,0:00:00.037375,245
103,0:00:04.685103,0:00:00.045486,211
104,0:00:04.729104,0:00:00.045472,301
105,0:00:05.442950,0:00:00.051838,254
106,0:00:05.447954,0:00:00.051396,254
107,0:00:05.465959,0:00:00.051084,254
108,0:00:05.480886,0:00:00.050749,254
109,0:00:05.506606,0:00:00.050519,290
110,0:00:05.651844,0:00:00.051380,275
111,0:00:05.661301,0:00:00.051003,275
112,0:00:05.690314,0:00:00.050806,275
113,0:00:05.699245,0:00:00.050436,275
114,0:00:05.734245,0:00:00.050300,375
115,0:00:06.130053,0:00:00.053305,335
116,0:00:06.132056,0:00:00.052863,329
117,0:00:06.133056,0:00:00.052419,326
118,0:00:06.133056,0:00:00.051975,324
119,0:00:06.133056,0:00:00.051538,354
120,0:00:06.137056,0:00:00.051142,349
121,0:00:06.141057,0:00:00.050753,419
122,0:00:06.149054,0:00:00.050402,416
123,0:00:06.150053,0:00:00.050000,449
124,0:00:06.158783,0:00:00.049668,443
125,0:00:06.160374,0:00:00.049283,516
126,0:00:06.169808,0:00:00.048967,516
127,0:00:06.172805,0:00:00.048605,509
128,0:00:06.173805,0:00:00.048233,506
129,0:00:06.176742,0:00:00.047882,495
130,0:00:06.178780,0:00:00.047529,509
131,0:00:06.182778,0:00:00.047197,505
132,0:00:06.183741,0:00:00.046847,557
133,0:00:06.190810,0:00:00.046547,553
134,0:00:06.193808,0:00:00.046222,544
135,0:00:06.193808,0:00:00.045880,644
136,0:00:06.208810,0:00:00.045653,642
137,0:00:06.211809,0:00:00.045342,688
138,0:00:06.219785,0:00:00.045071,686
139,0:00:06.223741,0:00:00.044775,734
140,0:00:06.230788,0:00:00.044506,733
141,0:00:06.234738,0:00:00.044218,727
142,0:00:06.236739,0:00:00.043921,723
143,0:00:06.238736,0:00:00.043628,718
144,0:00:06.242737,0:00:00.043352,712
145,0:00:06.243736,0:00:00.043060,709
146,0:00:06.246739,0:00:00.042786,704
147,0:00:06.248737,0:00:00.042508,701
148,0:00:06.251736,0:00:00.042241,697
149,0:00:06.254736,0:00:00.041978,691
150,0:00:06.256736,0:00:00.041712,686
151,0:00:06.258736,0:00:00.041449,681
152,0:00:06.260736,0:00:00.041189,676
153,0:00:06.262737,0:00:00.040933,672
154,0:00:06.265306,0:00:00.040684,665
155,0:00:06.266305,0:00:00.040428,663
156,0:00:06.268305,0:00:00.040181,658
157,0:00:06.269305,0:00:00.039932,655
158,0:00:06.273304,0:00:00.039704,649
159,0:00:06.275305,0:00:00.039467,656
160,0:00:06.279305,0:00:00.039246,651
161,0:00:06.282306,0:00:00.039021,647
162,0:00:06.285304,0:00:00.038798,642
163,0:00:06.288303,0:00:00.038579,638
164,0:00:06.292303,0:00:00.038368,632
165,0:00:06.295303,0:00:00.038153,627
166,0:00:06.297363,0:00:00.037936,623
167,0:00:06.298366,0:00:00.037715,620
168,0:00:06.299368,0:00:00.037496,616
169,0:00:06.301367,0:00:00.037286,610
170,0:00:06.304370,0:00:00.037085,602
171,0:00:06.306309,0:00:00.036879,597
172,0:00:06.307308,0:00:00.036670,594
173,0:00:06.309347,0:00:00.036470,590
174,0:00:06.309347,0:00:00.036261,589
175,0:00:06.312375,0:00:00.036071,584
176,0:00:06.313370,0:00:00.035871,580
177,0:00:06.314374,0:00:00.035674,577
178,0:00:06.317370,0:00:00.035491,570
179,0:00:06.318371,0:00:00.035298,566
180,0:00:06.320370,0:00:00.035113,562
181,0:00:06.320370,0:00:00.034919,561
182,0:00:06.322306,0:00:00.034738,556
183,0:00:06.324306,0:00:00.034559,553
184,0:00:06.326375,0:00:00.034382,546
185,0:00:06.333378,0:00:00.034234,544
186,0:00:06.335377,0:00:00.034061,544
187,0:00:06.343373,0:00:00.033922,544
188,0:00:06.362662,0:00:00.033844,544
189,0:00:06.378730,0:00:00.033750,556
190,0:00:06.479661,0:00:00.034103,555
191,0:00:06.505741,0:00:00.034061,555
192,0:00:06.531783,0:00:00.034020,555
193,0:00:06.551784,0:00:00.033947,555
194,0:00:06.605850,0:00:00.034051,555
195,0:00:06.686042,0:00:00.034287,555
196,0:00:06.788044,0:00:00.034633,555
197,0:00:06.875108,0:00:00.034899,555
198,0:00:06.892041,0:00:00.034808,555
199,0:00:06.966122,0:00:00.035006,555
200,0:00:07.025883,0:00:00.035129,555
201,0:00:07.325676,0:00:00.036446,555
202,0:00:07.460767,0:00:00.036934,555
203,0:00:07.627592,0:00:00.037574,555
204,0:00:07.682601,0:00:00.037660,555
205,0:00:07.797073,0:00:00.038035,555
206,0:00:07.909612,0:00:00.038396,555
207,0:00:08.034097,0:00:00.038812,555
208,0:00:08.066195,0:00:00.038780,555
209,0:00:08.099189,0:00:00.038752,555
210,0:00:08.130194,0:00:00.038715,555
211,0:00:08.160644,0:00:00.038676,555
212,0:00:08.160644,0:00:00.038494,555
213,0:00:08.190715,0:00:00.038454,555
214,0:00:08.191717,0:00:00.038279,555
215,0:00:08.191717,0:00:00.038101,555
216,0:00:08.191717,0:00:00.037925,555
217,0:00:08.191717,0:00:00.037750,555
218,0:00:08.191717,0:00:00.037577,555
219,0:00:08.191717,0:00:00.037405,585
220,0:00:09.418105,0:00:00.042810,567
221,0:00:09.418105,0:00:00.042616,567
222,0:00:09.418105,0:00:00.042424,567
223,0:00:09.605618,0:00:00.043075,567
224,0:00:09.605618,0:00:00.042882,617
225,0:00:11.410101,0:00:00.050712,587
226,0:00:11.566147,0:00:00.051178,587
227,0:00:11.566147,0:00:00.050952,587
228,0:00:11.884180,0:00:00.052124,587
229,0:00:11.884180,0:00:00.051896,587
230,0:00:11.884180,0:00:00.051670,587
231,0:00:12.229876,0:00:00.052943,587
232,0:00:12.229876,0:00:00.052715,587
233,0:00:12.361989,0:00:00.053056,587
234,0:00:12.528780,0:00:00.053542,587
235,0:00:12.528780,0:00:00.053314,587
236,0:00:12.528780,0:00:00.053088,587
237,0:00:12.528780,0:00:00.052864,587
238,0:00:12.528780,0:00:00.052642,587
239,0:00:12.529781,0:00:00.052426,637
240,0:00:14.390801,0:00:00.059962,615
241,0:00:14.391802,0:00:00.059717,615
242,0:00:14.391802,0:00:00.059470,615
243,0:00:14.513778,0:00:00.059727,615
244,0:00:14.513778,0:00:00.059483,615
245,0:00:14.559735,0:00:00.059427,615
246,0:00:14.913103,0:00:00.060622,615
247,0:00:14.913103,0:00:00.060377,615
248,0:00:15.150356,0:00:00.061090,615
249,0:00:15.151357,0:00:00.060849,695
250,0:00:18.123373,0:00:00.072493,650
251,0:00:18.166373,0:00:00.072376,650
252,0:00:18.209857,0:00:00.072261,650
253,0:00:18.569904,0:00:00.073399,650
254,0:00:18.569904,0:00:00.073110,674
255,0:00:19.271439,0:00:00.075574,665
256,0:00:19.718622,0:00:00.077026,665
257,0:00:19.794856,0:00:00.077023,665
258,0:00:20.009033,0:00:00.077554,665
259,0:00:20.211068,0:00:00.078035,665
260,0:00:20.317658,0:00:00.078145,665
261,0:00:20.317658,0:00:00.077845,665
262,0:00:20.365990,0:00:00.077733,665
263,0:00:20.801792,0:00:00.079094,665
264,0:00:20.801792,0:00:00.078795,665
265,0:00:20.801792,0:00:00.078497,665
266,0:00:21.010348,0:00:00.078986,665
267,0:00:21.061340,0:00:00.078881,665
268,0:00:21.061340,0:00:00.078587,665
269,0:00:21.119210,0:00:00.078510,665
270,0:00:21.119210,0:00:00.078219,665
271,0:00:21.119210,0:00:00.077931,665
