env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.003000,0:00:00.003000,3
2,0:00:00.004000,0:00:00.002000,3
3,0:00:00.004000,0:00:00.001333,3
4,0:00:00.004000,0:00:00.001000,3
5,0:00:00.004000,0:00:00.000800,15
6,0:00:00.007994,0:00:00.001332,7
7,0:00:00.008994,0:00:00.001285,7
8,0:00:00.008994,0:00:00.001124,7
9,0:00:00.008994,0:00:00.000999,7
10,0:00:00.008994,0:00:00.000899,7
11,0:00:00.009996,0:00:00.000909,7
12,0:00:00.009996,0:00:00.000833,7
13,0:00:00.009996,0:00:00.000769,7
14,0:00:00.010994,0:00:00.000785,7
15,0:00:00.010994,0:00:00.000733,7
16,0:00:00.010994,0:00:00.000687,7
17,0:00:00.010994,0:00:00.000647,7
18,0:00:00.010994,0:00:00.000611,7
19,0:00:00.010994,0:00:00.000579,7
20,0:00:00.010994,0:00:00.000550,19
21,0:00:00.014994,0:00:00.000714,14
22,0:00:00.014994,0:00:00.000682,14
23,0:00:00.014994,0:00:00.000652,14
24,0:00:00.015995,0:00:00.000666,14
25,0:00:00.015995,0:00:00.000640,14
26,0:00:00.015995,0:00:00.000615,14
27,0:00:00.015995,0:00:00.000592,14
28,0:00:00.015995,0:00:00.000571,14
29,0:00:00.015995,0:00:00.000552,14
30,0:00:00.015995,0:00:00.000533,26
31,0:00:00.019995,0:00:00.000645,18
32,0:00:00.020993,0:00:00.000656,18
33,0:00:00.020993,0:00:00.000636,18
34,0:00:00.021993,0:00:00.000647,18
35,0:00:00.021993,0:00:00.000628,42
36,0:00:00.039995,0:00:00.001111,30
37,0:00:00.039995,0:00:00.001081,30
38,0:00:00.039995,0:00:00.001052,30
39,0:00:00.042995,0:00:00.001102,30
40,0:00:00.042995,0:00:00.001075,30
41,0:00:00.042995,0:00:00.001049,30
42,0:00:00.043995,0:00:00.001048,30
43,0:00:00.043995,0:00:00.001023,30
44,0:00:00.047994,0:00:00.001091,30
45,0:00:00.047994,0:00:00.001067,30
46,0:00:00.047994,0:00:00.001043,30
47,0:00:00.048994,0:00:00.001042,30
48,0:00:00.048994,0:00:00.001021,30
49,0:00:00.048994,0:00:00.001000,30
50,0:00:00.048994,0:00:00.000980,30
51,0:00:00.048994,0:00:00.000961,30
52,0:00:00.048994,0:00:00.000942,30
53,0:00:00.048994,0:00:00.000924,30
54,0:00:00.048994,0:00:00.000907,30
55,0:00:00.048994,0:00:00.000891,54
56,0:00:00.072997,0:00:00.001304,38
57,0:00:00.072997,0:00:00.001281,38
58,0:00:00.072997,0:00:00.001259,38
59,0:00:00.077995,0:00:00.001322,38
60,0:00:00.077995,0:00:00.001300,38
61,0:00:00.079996,0:00:00.001311,38
62,0:00:00.088998,0:00:00.001435,38
63,0:00:00.088998,0:00:00.001413,38
64,0:00:00.096000,0:00:00.001500,38
65,0:00:00.096000,0:00:00.001477,38
66,0:00:00.096000,0:00:00.001455,38
67,0:00:00.096000,0:00:00.001433,38
68,0:00:00.096000,0:00:00.001412,38
69,0:00:00.096000,0:00:00.001391,38
70,0:00:00.096000,0:00:00.001371,38
71,0:00:00.096000,0:00:00.001352,38
72,0:00:00.096000,0:00:00.001333,38
73,0:00:00.096000,0:00:00.001315,38
74,0:00:00.096000,0:00:00.001297,38
75,0:00:00.096000,0:00:00.001280,44
76,0:00:00.100995,0:00:00.001329,40
77,0:00:00.100995,0:00:00.001312,40
78,0:00:00.100995,0:00:00.001295,40
79,0:00:00.100995,0:00:00.001278,40
80,0:00:00.100995,0:00:00.001262,40
81,0:00:00.101995,0:00:00.001259,40
82,0:00:00.102995,0:00:00.001256,40
83,0:00:00.102995,0:00:00.001241,40
84,0:00:00.102995,0:00:00.001226,40
85,0:00:00.102995,0:00:00.001212,76
86,0:00:00.149995,0:00:00.001744,58
87,0:00:00.149995,0:00:00.001724,58
88,0:00:00.149995,0:00:00.001704,58
89,0:00:00.153517,0:00:00.001725,58
90,0:00:00.153517,0:00:00.001706,58
91,0:00:00.155098,0:00:00.001704,58
92,0:00:00.163659,0:00:00.001779,58
93,0:00:00.163659,0:00:00.001760,58
94,0:00:00.168171,0:00:00.001789,58
95,0:00:00.168171,0:00:00.001770,58
96,0:00:00.168171,0:00:00.001752,58
97,0:00:00.170169,0:00:00.001754,58
98,0:00:00.170169,0:00:00.001736,58
99,0:00:00.170169,0:00:00.001719,58
100,0:00:00.170169,0:00:00.001702,70
101,0:00:00.189172,0:00:00.001873,66
102,0:00:00.190175,0:00:00.001864,72
103,0:00:00.209173,0:00:00.002031,70
104,0:00:00.212171,0:00:00.002040,79
105,0:00:00.230169,0:00:00.002192,75
106,0:00:00.232173,0:00:00.002190,75
107,0:00:00.235171,0:00:00.002198,75
108,0:00:00.236172,0:00:00.002187,75
109,0:00:00.239172,0:00:00.002194,111
110,0:00:00.299170,0:00:00.002720,94
111,0:00:00.302168,0:00:00.002722,94
112,0:00:00.302168,0:00:00.002698,94
113,0:00:00.307169,0:00:00.002718,94
114,0:00:00.307169,0:00:00.002694,124
115,0:00:00.331422,0:00:00.002882,106
116,0:00:00.332456,0:00:00.002866,103
117,0:00:00.332456,0:00:00.002842,103
118,0:00:00.335560,0:00:00.002844,103
119,0:00:00.336069,0:00:00.002824,133
120,0:00:00.355070,0:00:00.002959,123
121,0:00:00.361068,0:00:00.002984,130
122,0:00:00.367068,0:00:00.003009,123
123,0:00:00.374068,0:00:00.003041,159
124,0:00:00.392139,0:00:00.003162,147
125,0:00:00.393136,0:00:00.003145,168
126,0:00:00.395140,0:00:00.003136,164
127,0:00:00.396140,0:00:00.003119,156
128,0:00:00.396140,0:00:00.003095,151
129,0:00:00.397141,0:00:00.003079,150
130,0:00:00.401076,0:00:00.003085,170
131,0:00:00.412131,0:00:00.003146,159
132,0:00:00.413131,0:00:00.003130,169
133,0:00:00.416866,0:00:00.003134,165
134,0:00:00.421115,0:00:00.003143,165
135,0:00:00.425171,0:00:00.003149,215
136,0:00:00.464293,0:00:00.003414,197
137,0:00:00.465292,0:00:00.003396,206
138,0:00:00.466290,0:00:00.003379,203
139,0:00:00.468247,0:00:00.003369,209
140,0:00:00.469297,0:00:00.003352,208
141,0:00:00.469297,0:00:00.003328,205
142,0:00:00.469297,0:00:00.003305,200
143,0:00:00.470295,0:00:00.003289,197
144,0:00:00.473295,0:00:00.003287,197
145,0:00:00.479247,0:00:00.003305,197
146,0:00:00.489318,0:00:00.003351,197
147,0:00:00.492246,0:00:00.003349,197
148,0:00:00.511286,0:00:00.003455,197
149,0:00:00.511286,0:00:00.003431,197
150,0:00:00.516284,0:00:00.003442,197
151,0:00:00.516284,0:00:00.003419,197
152,0:00:00.519316,0:00:00.003417,197
153,0:00:00.523290,0:00:00.003420,197
154,0:00:00.527317,0:00:00.003424,197
155,0:00:00.527317,0:00:00.003402,197
156,0:00:00.527317,0:00:00.003380,197
157,0:00:00.527317,0:00:00.003359,197
158,0:00:00.527317,0:00:00.003337,197
159,0:00:00.527317,0:00:00.003316,209
160,0:00:00.567312,0:00:00.003546,199
161,0:00:00.568323,0:00:00.003530,199
162,0:00:00.568323,0:00:00.003508,199
163,0:00:00.570249,0:00:00.003498,199
164,0:00:00.570249,0:00:00.003477,199
165,0:00:00.577249,0:00:00.003498,199
166,0:00:00.583248,0:00:00.003514,199
167,0:00:00.583248,0:00:00.003493,199
168,0:00:00.599317,0:00:00.003567,199
169,0:00:00.599317,0:00:00.003546,199
170,0:00:00.599317,0:00:00.003525,199
171,0:00:00.599317,0:00:00.003505,199
172,0:00:00.599317,0:00:00.003484,199
173,0:00:00.599317,0:00:00.003464,199
174,0:00:00.599317,0:00:00.003444,199
175,0:00:00.599317,0:00:00.003425,199
176,0:00:00.599317,0:00:00.003405,199
177,0:00:00.599317,0:00:00.003386,199
178,0:00:00.599317,0:00:00.003367,199
179,0:00:00.599317,0:00:00.003348,199
180,0:00:00.599317,0:00:00.003330,199
181,0:00:00.599317,0:00:00.003311,199
182,0:00:00.599317,0:00:00.003293,199
183,0:00:00.599317,0:00:00.003275,199
184,0:00:00.599317,0:00:00.003257,199
185,0:00:00.599317,0:00:00.003240,199
186,0:00:00.599317,0:00:00.003222,199
187,0:00:00.599317,0:00:00.003205,199
188,0:00:00.599317,0:00:00.003188,199
189,0:00:00.599317,0:00:00.003171,211
190,0:00:00.648313,0:00:00.003412,204
191,0:00:00.648313,0:00:00.003394,204
192,0:00:00.648313,0:00:00.003377,204
193,0:00:00.654311,0:00:00.003390,204
194,0:00:00.654311,0:00:00.003373,204
195,0:00:00.654311,0:00:00.003355,204
196,0:00:00.660247,0:00:00.003369,204
197,0:00:00.660247,0:00:00.003352,204
198,0:00:00.675423,0:00:00.003411,204
199,0:00:00.675423,0:00:00.003394,204
200,0:00:00.675423,0:00:00.003377,204
201,0:00:00.675423,0:00:00.003360,204
202,0:00:00.675423,0:00:00.003344,204
203,0:00:00.675423,0:00:00.003327,204
204,0:00:00.675423,0:00:00.003311,204
205,0:00:00.675423,0:00:00.003295,204
206,0:00:00.675423,0:00:00.003279,204
207,0:00:00.675423,0:00:00.003263,204
208,0:00:00.675423,0:00:00.003247,204
209,0:00:00.675423,0:00:00.003232,204
210,0:00:00.675423,0:00:00.003216,204
211,0:00:00.675423,0:00:00.003201,204
212,0:00:00.675423,0:00:00.003186,204
213,0:00:00.675423,0:00:00.003171,204
214,0:00:00.675423,0:00:00.003156,204
215,0:00:00.675423,0:00:00.003142,204
216,0:00:00.675423,0:00:00.003127,204
217,0:00:00.675423,0:00:00.003113,204
218,0:00:00.675423,0:00:00.003098,204
219,0:00:00.675423,0:00:00.003084,210
220,0:00:00.698495,0:00:00.003175,208
221,0:00:00.698495,0:00:00.003161,208
222,0:00:00.698495,0:00:00.003146,208
223,0:00:00.698495,0:00:00.003132,208
224,0:00:00.698495,0:00:00.003118,220
225,0:00:00.742486,0:00:00.003300,212
226,0:00:00.744490,0:00:00.003294,212
227,0:00:00.744490,0:00:00.003280,212
228,0:00:00.753490,0:00:00.003305,212
229,0:00:00.753490,0:00:00.003290,212
230,0:00:00.757460,0:00:00.003293,212
231,0:00:00.767492,0:00:00.003322,212
232,0:00:00.767492,0:00:00.003308,212
233,0:00:00.770423,0:00:00.003307,212
234,0:00:00.770423,0:00:00.003292,212
235,0:00:00.770423,0:00:00.003278,212
236,0:00:00.774418,0:00:00.003281,212
237,0:00:00.774418,0:00:00.003268,212
238,0:00:00.774418,0:00:00.003254,212
239,0:00:00.774418,0:00:00.003240,224
240,0:00:00.820492,0:00:00.003419,219
241,0:00:00.820492,0:00:00.003405,219
242,0:00:00.820492,0:00:00.003390,219
243,0:00:00.827501,0:00:00.003405,219
244,0:00:00.827501,0:00:00.003391,219
245,0:00:00.827501,0:00:00.003378,219
246,0:00:00.843103,0:00:00.003427,219
247,0:00:00.843103,0:00:00.003413,219
248,0:00:00.843103,0:00:00.003400,219
249,0:00:00.843103,0:00:00.003386,231
250,0:00:00.919553,0:00:00.003678,223
251,0:00:00.930746,0:00:00.003708,223
252,0:00:00.930746,0:00:00.003693,223
253,0:00:00.948750,0:00:00.003750,223
254,0:00:00.948750,0:00:00.003735,247
255,0:00:01.080522,0:00:00.004237,234
256,0:00:01.080522,0:00:00.004221,234
257,0:00:01.080522,0:00:00.004204,234
