env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.003039,0:00:00.003039,5
2,0:00:00.003039,0:00:00.001520,5
3,0:00:00.003039,0:00:00.001013,5
4,0:00:00.003039,0:00:00.000760,5
5,0:00:00.003039,0:00:00.000608,17
6,0:00:00.009001,0:00:00.001500,9
7,0:00:00.010002,0:00:00.001429,9
8,0:00:00.010002,0:00:00.001250,9
9,0:00:00.011999,0:00:00.001333,9
10,0:00:00.011999,0:00:00.001200,9
11,0:00:00.012530,0:00:00.001139,9
12,0:00:00.016520,0:00:00.001377,9
13,0:00:00.016520,0:00:00.001271,9
14,0:00:00.017519,0:00:00.001251,9
15,0:00:00.017519,0:00:00.001168,9
16,0:00:00.017519,0:00:00.001095,9
17,0:00:00.017519,0:00:00.001031,9
18,0:00:00.017519,0:00:00.000973,9
19,0:00:00.017519,0:00:00.000922,9
20,0:00:00.017519,0:00:00.000876,21
21,0:00:00.041529,0:00:00.001978,15
22,0:00:00.042524,0:00:00.001933,15
23,0:00:00.042524,0:00:00.001849,15
24,0:00:00.042524,0:00:00.001772,15
25,0:00:00.042524,0:00:00.001701,15
26,0:00:00.042524,0:00:00.001636,15
27,0:00:00.045522,0:00:00.001686,15
28,0:00:00.045522,0:00:00.001626,15
29,0:00:00.047522,0:00:00.001639,15
30,0:00:00.047522,0:00:00.001584,27
31,0:00:00.058520,0:00:00.001888,22
32,0:00:00.059521,0:00:00.001860,22
33,0:00:00.059521,0:00:00.001804,22
34,0:00:00.059521,0:00:00.001751,22
35,0:00:00.059521,0:00:00.001701,46
36,0:00:00.088130,0:00:00.002448,35
37,0:00:00.089129,0:00:00.002409,35
38,0:00:00.089129,0:00:00.002346,35
39,0:00:00.094130,0:00:00.002414,35
40,0:00:00.094130,0:00:00.002353,35
41,0:00:00.095130,0:00:00.002320,35
42,0:00:00.101129,0:00:00.002408,35
43,0:00:00.101129,0:00:00.002352,35
44,0:00:00.103128,0:00:00.002344,35
45,0:00:00.103128,0:00:00.002292,35
46,0:00:00.103128,0:00:00.002242,35
47,0:00:00.105128,0:00:00.002237,35
48,0:00:00.105128,0:00:00.002190,35
49,0:00:00.105128,0:00:00.002145,35
50,0:00:00.105128,0:00:00.002103,35
51,0:00:00.105128,0:00:00.002061,35
52,0:00:00.105128,0:00:00.002022,35
53,0:00:00.105128,0:00:00.001984,35
54,0:00:00.105128,0:00:00.001947,35
55,0:00:00.105128,0:00:00.001911,59
56,0:00:00.167412,0:00:00.002990,44
57,0:00:00.167412,0:00:00.002937,44
58,0:00:00.167412,0:00:00.002886,44
59,0:00:00.171411,0:00:00.002905,44
60,0:00:00.171411,0:00:00.002857,44
61,0:00:00.172411,0:00:00.002826,44
62,0:00:00.181416,0:00:00.002926,44
63,0:00:00.181416,0:00:00.002880,44
64,0:00:00.186412,0:00:00.002913,44
65,0:00:00.186412,0:00:00.002868,44
66,0:00:00.186412,0:00:00.002824,44
67,0:00:00.186412,0:00:00.002782,44
68,0:00:00.186412,0:00:00.002741,44
69,0:00:00.186412,0:00:00.002702,44
70,0:00:00.186412,0:00:00.002663,44
71,0:00:00.186412,0:00:00.002626,44
72,0:00:00.186412,0:00:00.002589,44
73,0:00:00.186412,0:00:00.002554,44
74,0:00:00.186412,0:00:00.002519,44
75,0:00:00.186412,0:00:00.002485,50
76,0:00:00.196414,0:00:00.002584,48
77,0:00:00.196414,0:00:00.002551,48
78,0:00:00.196414,0:00:00.002518,48
79,0:00:00.196414,0:00:00.002486,48
80,0:00:00.196414,0:00:00.002455,48
81,0:00:00.196414,0:00:00.002425,48
82,0:00:00.198415,0:00:00.002420,48
83,0:00:00.198415,0:00:00.002391,48
84,0:00:00.198415,0:00:00.002362,48
85,0:00:00.198415,0:00:00.002334,84
86,0:00:00.310424,0:00:00.003610,67
87,0:00:00.311426,0:00:00.003580,67
88,0:00:00.311426,0:00:00.003539,67
89,0:00:00.318424,0:00:00.003578,67
90,0:00:00.318424,0:00:00.003538,67
91,0:00:00.320427,0:00:00.003521,67
92,0:00:00.328429,0:00:00.003570,67
93,0:00:00.328429,0:00:00.003531,67
94,0:00:00.366427,0:00:00.003898,67
95,0:00:00.366427,0:00:00.003857,67
96,0:00:00.366427,0:00:00.003817,67
97,0:00:00.371428,0:00:00.003829,67
98,0:00:00.371428,0:00:00.003790,67
99,0:00:00.371428,0:00:00.003752,67
100,0:00:00.371428,0:00:00.003714,79
101,0:00:00.413291,0:00:00.004092,72
102,0:00:00.414289,0:00:00.004062,78
103,0:00:00.427289,0:00:00.004148,75
104,0:00:00.435288,0:00:00.004185,84
105,0:00:00.457289,0:00:00.004355,78
106,0:00:00.457289,0:00:00.004314,78
107,0:00:00.460288,0:00:00.004302,78
108,0:00:00.464288,0:00:00.004299,78
109,0:00:00.468288,0:00:00.004296,114
110,0:00:00.577220,0:00:00.005247,100
111,0:00:00.583536,0:00:00.005257,100
112,0:00:00.585538,0:00:00.005228,100
113,0:00:00.596538,0:00:00.005279,100
114,0:00:00.597540,0:00:00.005242,130
115,0:00:00.687239,0:00:00.005976,114
116,0:00:00.704241,0:00:00.006071,114
117,0:00:00.704241,0:00:00.006019,114
118,0:00:00.725279,0:00:00.006146,114
119,0:00:00.726282,0:00:00.006103,144
120,0:00:00.813310,0:00:00.006778,130
121,0:00:00.829240,0:00:00.006853,138
122,0:00:00.857240,0:00:00.007027,134
123,0:00:00.865300,0:00:00.007035,170
124,0:00:00.952344,0:00:00.007680,151
125,0:00:00.958343,0:00:00.007667,176
126,0:00:00.997386,0:00:00.007916,164
127,0:00:00.999340,0:00:00.007869,164
128,0:00:01.010340,0:00:00.007893,164
129,0:00:01.010340,0:00:00.007832,164
130,0:00:01.027344,0:00:00.007903,184
131,0:00:01.099073,0:00:00.008390,174
132,0:00:01.109117,0:00:00.008402,186
133,0:00:01.146325,0:00:00.008619,180
134,0:00:01.179181,0:00:00.008800,180
135,0:00:01.191209,0:00:00.008824,230
136,0:00:01.345971,0:00:00.009897,197
137,0:00:01.348970,0:00:00.009846,209
138,0:00:01.358016,0:00:00.009841,202
139,0:00:01.367038,0:00:00.009835,217
140,0:00:01.390975,0:00:00.009936,210
141,0:00:01.391974,0:00:00.009872,210
142,0:00:01.402818,0:00:00.009879,210
143,0:00:01.404916,0:00:00.009825,210
144,0:00:01.450197,0:00:00.010071,210
145,0:00:01.457195,0:00:00.010050,210
146,0:00:01.476268,0:00:00.010111,210
147,0:00:01.476268,0:00:00.010043,210
148,0:00:01.481272,0:00:00.010009,210
149,0:00:01.508269,0:00:00.010123,210
150,0:00:01.545269,0:00:00.010302,210
151,0:00:01.550270,0:00:00.010267,210
152,0:00:01.568271,0:00:00.010318,210
153,0:00:01.577185,0:00:00.010308,210
154,0:00:01.577185,0:00:00.010241,210
155,0:00:01.577185,0:00:00.010175,210
156,0:00:01.577185,0:00:00.010110,210
157,0:00:01.577185,0:00:00.010046,210
158,0:00:01.577185,0:00:00.009982,210
159,0:00:01.577185,0:00:00.009919,222
160,0:00:01.662814,0:00:00.010393,214
161,0:00:01.662814,0:00:00.010328,214
162,0:00:01.662814,0:00:00.010264,214
163,0:00:01.674817,0:00:00.010275,214
164,0:00:01.674817,0:00:00.010212,214
165,0:00:01.681814,0:00:00.010193,214
166,0:00:01.699811,0:00:00.010240,214
167,0:00:01.699811,0:00:00.010179,214
168,0:00:01.705811,0:00:00.010154,214
169,0:00:01.705811,0:00:00.010094,214
170,0:00:01.705811,0:00:00.010034,214
171,0:00:01.711811,0:00:00.010011,214
172,0:00:01.711811,0:00:00.009952,214
173,0:00:01.711811,0:00:00.009895,214
174,0:00:01.711811,0:00:00.009838,214
175,0:00:01.711811,0:00:00.009782,214
176,0:00:01.711811,0:00:00.009726,214
177,0:00:01.711811,0:00:00.009671,214
178,0:00:01.711811,0:00:00.009617,214
179,0:00:01.711811,0:00:00.009563,214
180,0:00:01.711811,0:00:00.009510,214
181,0:00:01.711811,0:00:00.009458,214
182,0:00:01.711811,0:00:00.009406,214
183,0:00:01.711811,0:00:00.009354,214
184,0:00:01.711811,0:00:00.009303,214
185,0:00:01.711811,0:00:00.009253,214
186,0:00:01.711811,0:00:00.009203,214
187,0:00:01.711811,0:00:00.009154,214
188,0:00:01.711811,0:00:00.009105,214
189,0:00:01.712812,0:00:00.009062,226
190,0:00:01.788814,0:00:00.009415,218
191,0:00:01.788814,0:00:00.009366,218
192,0:00:01.788814,0:00:00.009317,218
193,0:00:01.800815,0:00:00.009331,218
194,0:00:01.800815,0:00:00.009283,218
195,0:00:01.806884,0:00:00.009266,218
196,0:00:01.818895,0:00:00.009280,218
197,0:00:01.818895,0:00:00.009233,218
198,0:00:01.842889,0:00:00.009308,218
199,0:00:01.842889,0:00:00.009261,218
200,0:00:01.842889,0:00:00.009214,218
201,0:00:01.842889,0:00:00.009169,218
202,0:00:01.842889,0:00:00.009123,218
203,0:00:01.842889,0:00:00.009078,218
204,0:00:01.842889,0:00:00.009034,218
205,0:00:01.842889,0:00:00.008990,218
206,0:00:01.842889,0:00:00.008946,218
207,0:00:01.842889,0:00:00.008903,218
208,0:00:01.842889,0:00:00.008860,218
209,0:00:01.842889,0:00:00.008818,218
210,0:00:01.842889,0:00:00.008776,218
211,0:00:01.842889,0:00:00.008734,218
212,0:00:01.842889,0:00:00.008693,218
213,0:00:01.842889,0:00:00.008652,218
