env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00,0:00:00,2
2,0:00:00.001998,0:00:00.000999,2
3,0:00:00.003000,0:00:00.001000,2
4,0:00:00.003000,0:00:00.000750,2
5,0:00:00.003000,0:00:00.000600,6
6,0:00:00.003000,0:00:00.000500,4
7,0:00:00.003000,0:00:00.000429,4
8,0:00:00.003000,0:00:00.000375,4
9,0:00:00.003000,0:00:00.000333,4
10,0:00:00.003000,0:00:00.000300,4
11,0:00:00.003000,0:00:00.000273,4
12,0:00:00.003998,0:00:00.000333,4
13,0:00:00.003998,0:00:00.000308,4
14,0:00:00.003998,0:00:00.000286,4
15,0:00:00.003998,0:00:00.000267,4
16,0:00:00.003998,0:00:00.000250,4
17,0:00:00.003998,0:00:00.000235,4
18,0:00:00.003998,0:00:00.000222,4
19,0:00:00.003998,0:00:00.000210,4
20,0:00:00.003998,0:00:00.000200,8
21,0:00:00.004997,0:00:00.000238,6
22,0:00:00.004997,0:00:00.000227,6
23,0:00:00.004997,0:00:00.000217,6
24,0:00:00.004997,0:00:00.000208,6
25,0:00:00.004997,0:00:00.000200,6
26,0:00:00.004997,0:00:00.000192,6
27,0:00:00.004997,0:00:00.000185,6
28,0:00:00.004997,0:00:00.000178,6
29,0:00:00.004997,0:00:00.000172,6
30,0:00:00.004997,0:00:00.000167,10
31,0:00:00.004997,0:00:00.000161,7
32,0:00:00.006001,0:00:00.000188,7
33,0:00:00.006001,0:00:00.000182,7
34,0:00:00.007002,0:00:00.000206,7
35,0:00:00.008003,0:00:00.000229,11
36,0:00:00.008003,0:00:00.000222,9
37,0:00:00.009002,0:00:00.000243,9
38,0:00:00.009002,0:00:00.000237,9
39,0:00:00.009002,0:00:00.000231,9
40,0:00:00.009002,0:00:00.000225,9
41,0:00:00.009002,0:00:00.000220,9
42,0:00:00.009999,0:00:00.000238,9
43,0:00:00.009999,0:00:00.000233,9
44,0:00:00.009999,0:00:00.000227,9
45,0:00:00.009999,0:00:00.000222,9
46,0:00:00.009999,0:00:00.000217,9
47,0:00:00.009999,0:00:00.000213,9
48,0:00:00.009999,0:00:00.000208,9
49,0:00:00.009999,0:00:00.000204,9
50,0:00:00.009999,0:00:00.000200,9
51,0:00:00.009999,0:00:00.000196,9
52,0:00:00.009999,0:00:00.000192,9
53,0:00:00.009999,0:00:00.000189,9
54,0:00:00.009999,0:00:00.000185,9
55,0:00:00.009999,0:00:00.000182,13
56,0:00:00.011000,0:00:00.000196,11
57,0:00:00.011000,0:00:00.000193,11
58,0:00:00.011000,0:00:00.000190,11
59,0:00:00.012002,0:00:00.000203,11
60,0:00:00.012002,0:00:00.000200,11
61,0:00:00.012002,0:00:00.000197,11
62,0:00:00.012002,0:00:00.000194,11
63,0:00:00.012002,0:00:00.000191,11
64,0:00:00.012002,0:00:00.000188,11
65,0:00:00.012002,0:00:00.000185,11
66,0:00:00.012002,0:00:00.000182,11
67,0:00:00.012002,0:00:00.000179,11
68,0:00:00.012002,0:00:00.000176,11
69,0:00:00.012002,0:00:00.000174,11
70,0:00:00.012002,0:00:00.000171,11
71,0:00:00.012002,0:00:00.000169,11
72,0:00:00.012002,0:00:00.000167,11
73,0:00:00.012002,0:00:00.000164,11
74,0:00:00.012002,0:00:00.000162,11
75,0:00:00.012002,0:00:00.000160,13
76,0:00:00.013000,0:00:00.000171,11
77,0:00:00.013000,0:00:00.000169,11
78,0:00:00.013000,0:00:00.000167,11
79,0:00:00.013000,0:00:00.000165,11
80,0:00:00.013000,0:00:00.000162,11
81,0:00:00.013000,0:00:00.000160,11
82,0:00:00.013000,0:00:00.000159,11
83,0:00:00.013000,0:00:00.000157,11
84,0:00:00.014000,0:00:00.000167,11
85,0:00:00.014000,0:00:00.000165,13
86,0:00:00.014999,0:00:00.000174,12
87,0:00:00.014999,0:00:00.000172,12
88,0:00:00.014999,0:00:00.000170,12
89,0:00:00.014999,0:00:00.000169,12
90,0:00:00.014999,0:00:00.000167,12
91,0:00:00.014999,0:00:00.000165,12
92,0:00:00.014999,0:00:00.000163,12
93,0:00:00.014999,0:00:00.000161,12
94,0:00:00.014999,0:00:00.000160,12
95,0:00:00.014999,0:00:00.000158,12
96,0:00:00.014999,0:00:00.000156,12
97,0:00:00.014999,0:00:00.000155,12
98,0:00:00.014999,0:00:00.000153,12
99,0:00:00.014999,0:00:00.000152,12
100,0:00:00.014999,0:00:00.000150,14
101,0:00:00.016000,0:00:00.000158,13
102,0:00:00.016000,0:00:00.000157,14
103,0:00:00.017001,0:00:00.000165,13
104,0:00:00.017001,0:00:00.000163,16
105,0:00:00.017999,0:00:00.000171,13
106,0:00:00.019000,0:00:00.000179,13
107,0:00:00.019000,0:00:00.000178,13
108,0:00:00.019000,0:00:00.000176,13
109,0:00:00.019000,0:00:00.000174,17
110,0:00:00.020001,0:00:00.000182,15
111,0:00:00.020001,0:00:00.000180,15
112,0:00:00.020001,0:00:00.000179,15
113,0:00:00.020001,0:00:00.000177,15
114,0:00:00.020001,0:00:00.000175,20
115,0:00:00.021000,0:00:00.000183,17
116,0:00:00.021000,0:00:00.000181,17
117,0:00:00.021000,0:00:00.000179,17
118,0:00:00.021000,0:00:00.000178,17
119,0:00:00.021000,0:00:00.000176,22
120,0:00:00.021998,0:00:00.000183,22
121,0:00:00.021998,0:00:00.000182,24
122,0:00:00.021998,0:00:00.000180,23
123,0:00:00.023000,0:00:00.000187,27
124,0:00:00.023000,0:00:00.000185,25
125,0:00:00.023000,0:00:00.000184,30
126,0:00:00.023998,0:00:00.000190,27
127,0:00:00.023998,0:00:00.000189,27
128,0:00:00.024997,0:00:00.000195,27
129,0:00:00.024997,0:00:00.000194,27
130,0:00:00.024997,0:00:00.000192,29
131,0:00:00.026000,0:00:00.000198,27
132,0:00:00.026000,0:00:00.000197,29
133,0:00:00.026000,0:00:00.000195,29
134,0:00:00.026997,0:00:00.000201,29
135,0:00:00.026997,0:00:00.000200,34
136,0:00:00.027998,0:00:00.000206,32
137,0:00:00.027998,0:00:00.000204,34
138,0:00:00.027998,0:00:00.000203,32
139,0:00:00.027998,0:00:00.000201,37
140,0:00:00.028998,0:00:00.000207,33
141,0:00:00.028998,0:00:00.000206,33
142,0:00:00.029998,0:00:00.000211,33
143,0:00:00.029998,0:00:00.000210,33
144,0:00:00.029998,0:00:00.000208,33
145,0:00:00.031002,0:00:00.000214,33
146,0:00:00.032000,0:00:00.000219,33
147,0:00:00.032000,0:00:00.000218,33
148,0:00:00.033001,0:00:00.000223,33
149,0:00:00.033001,0:00:00.000221,33
150,0:00:00.033001,0:00:00.000220,33
151,0:00:00.033001,0:00:00.000219,33
152,0:00:00.033001,0:00:00.000217,33
153,0:00:00.033001,0:00:00.000216,33
154,0:00:00.033001,0:00:00.000214,33
155,0:00:00.033001,0:00:00.000213,33
156,0:00:00.033001,0:00:00.000212,33
157,0:00:00.033001,0:00:00.000210,33
158,0:00:00.033001,0:00:00.000209,33
159,0:00:00.033001,0:00:00.000208,35
160,0:00:00.034001,0:00:00.000213,34
161,0:00:00.034001,0:00:00.000211,34
162,0:00:00.034001,0:00:00.000210,34
163,0:00:00.034001,0:00:00.000209,34
164,0:00:00.034001,0:00:00.000207,34
165,0:00:00.034001,0:00:00.000206,34
166,0:00:00.034998,0:00:00.000211,34
167,0:00:00.034998,0:00:00.000210,34
168,0:00:00.034998,0:00:00.000208,34
169,0:00:00.034998,0:00:00.000207,34
170,0:00:00.034998,0:00:00.000206,34
171,0:00:00.034998,0:00:00.000205,34
172,0:00:00.034998,0:00:00.000203,34
173,0:00:00.034998,0:00:00.000202,34
174,0:00:00.034998,0:00:00.000201,34
175,0:00:00.034998,0:00:00.000200,34
176,0:00:00.034998,0:00:00.000199,34
177,0:00:00.034998,0:00:00.000198,34
178,0:00:00.034998,0:00:00.000197,34
179,0:00:00.034998,0:00:00.000196,34
180,0:00:00.034998,0:00:00.000194,34
181,0:00:00.034998,0:00:00.000193,34
182,0:00:00.034998,0:00:00.000192,34
183,0:00:00.034998,0:00:00.000191,34
184,0:00:00.034998,0:00:00.000190,34
185,0:00:00.034998,0:00:00.000189,34
186,0:00:00.034998,0:00:00.000188,34
187,0:00:00.034998,0:00:00.000187,34
188,0:00:00.034998,0:00:00.000186,34
189,0:00:00.034998,0:00:00.000185,37
190,0:00:00.036998,0:00:00.000195,37
191,0:00:00.036998,0:00:00.000194,37
192,0:00:00.036998,0:00:00.000193,37
193,0:00:00.036998,0:00:00.000192,37
194,0:00:00.036998,0:00:00.000191,37
195,0:00:00.036998,0:00:00.000190,37
