env_time,total_time,avg_simulation_second,event_store_size
1,0:00:00.002000,0:00:00.002000,1
2,0:00:00.002000,0:00:00.001000,1
3,0:00:00.002000,0:00:00.000667,1
4,0:00:00.002000,0:00:00.000500,1
5,0:00:00.003003,0:00:00.000601,5
6,0:00:00.003999,0:00:00.000666,2
7,0:00:00.005003,0:00:00.000715,2
8,0:00:00.005003,0:00:00.000625,2
9,0:00:00.006012,0:00:00.000668,2
10,0:00:00.006012,0:00:00.000601,2
11,0:00:00.006012,0:00:00.000547,2
12,0:00:00.007030,0:00:00.000586,2
13,0:00:00.007030,0:00:00.000541,2
14,0:00:00.007030,0:00:00.000502,2
15,0:00:00.007030,0:00:00.000469,2
16,0:00:00.007030,0:00:00.000439,2
17,0:00:00.007030,0:00:00.000414,2
18,0:00:00.007030,0:00:00.000391,2
19,0:00:00.007030,0:00:00.000370,2
20,0:00:00.007030,0:00:00.000352,6
21,0:00:00.008026,0:00:00.000382,3
22,0:00:00.008608,0:00:00.000391,3
23,0:00:00.008608,0:00:00.000374,3
24,0:00:00.008608,0:00:00.000359,3
25,0:00:00.008608,0:00:00.000344,3
26,0:00:00.008608,0:00:00.000331,3
27,0:00:00.009196,0:00:00.000341,3
28,0:00:00.009196,0:00:00.000328,3
29,0:00:00.009196,0:00:00.000317,3
30,0:00:00.009702,0:00:00.000323,7
31,0:00:00.010769,0:00:00.000347,4
32,0:00:00.010769,0:00:00.000337,4
33,0:00:00.010769,0:00:00.000326,4
34,0:00:00.010769,0:00:00.000317,4
35,0:00:00.011297,0:00:00.000323,12
36,0:00:00.013391,0:00:00.000372,9
37,0:00:00.013917,0:00:00.000376,9
38,0:00:00.013917,0:00:00.000366,9
39,0:00:00.013917,0:00:00.000357,9
40,0:00:00.013917,0:00:00.000348,9
41,0:00:00.013917,0:00:00.000339,9
42,0:00:00.013917,0:00:00.000331,9
43,0:00:00.013917,0:00:00.000324,9
44,0:00:00.014443,0:00:00.000328,9
45,0:00:00.014443,0:00:00.000321,9
46,0:00:00.014443,0:00:00.000314,9
47,0:00:00.014443,0:00:00.000307,9
