env_time,total_time,avg_simulation_second
1,0:00:01.503223,0:00:01.503223
2,0:00:02.856013,0:00:01.428006
3,0:00:05.222339,0:00:01.740780
4,0:00:06.679064,0:00:01.669766
5,0:00:07.911717,0:00:01.582343
6,0:00:09.368013,0:00:01.561336
7,0:00:10.759204,0:00:01.537029
8,0:00:11.817358,0:00:01.477170
9,0:00:12.781628,0:00:01.420181
10,0:00:13.999868,0:00:01.399987
11,0:00:15.271699,0:00:01.388336
12,0:00:16.588456,0:00:01.382371
13,0:00:17.537568,0:00:01.349044
14,0:00:18.554137,0:00:01.325296
15,0:00:19.759096,0:00:01.317273
16,0:00:21.134203,0:00:01.320888
17,0:00:22.390893,0:00:01.317111
18,0:00:23.350172,0:00:01.297232
19,0:00:24.317076,0:00:01.279846
20,0:00:25.485500,0:00:01.274275
21,0:00:26.791105,0:00:01.275767
22,0:00:28.039842,0:00:01.274538
