env_time,total_time,avg_simulation_second
1,0:00:04.250900,0:00:04.250900
2,0:00:08.722047,0:00:04.361024
3,0:00:13.058185,0:00:04.352728
4,0:00:16.957091,0:00:04.239273
5,0:00:20.248395,0:00:04.049679
6,0:00:24.051833,0:00:04.008639
7,0:00:27.574515,0:00:03.939216
8,0:00:30.911127,0:00:03.863891
9,0:00:34.642175,0:00:03.849131
10,0:00:37.922714,0:00:03.792271
11,0:00:41.415750,0:00:03.765068
12,0:00:44.919719,0:00:03.743310
13,0:00:48.099363,0:00:03.699951
14,0:00:51.804043,0:00:03.700289
15,0:00:54.993040,0:00:03.666203
16,0:00:58.774750,0:00:03.673422
17,0:01:02.001222,0:00:03.647131
18,0:01:05.475166,0:00:03.637509
19,0:01:09.007710,0:00:03.631985
20,0:01:12.299772,0:00:03.614989
21,0:01:15.857089,0:00:03.612242
22,0:01:19.034927,0:00:03.592497
23,0:01:22.785620,0:00:03.599375
24,0:01:26.044531,0:00:03.585189
25,0:01:29.896761,0:00:03.595870
26,0:01:33.183162,0:00:03.583968
27,0:01:36.842061,0:00:03.586743
28,0:01:40.749590,0:00:03.598200
29,0:01:44.197951,0:00:03.593033
30,0:01:47.784895,0:00:03.592830
31,0:01:50.928287,0:00:03.578332
32,0:01:54.815197,0:00:03.587975
